"Year","Intercept.yr","logarea.t0.yr","Group","GrpName","Intercept","logarea.t0","crowd1","crowd2","crowd3","crowd4","alpha","sigma.a","sigma.b"
82,-0.0368724006947741,-0.0299150907257276,-0.00837104369005346,1,0.407501390024149,0.680837492935875,5.35735512518906e-05,0.00312417608826376,-0.0841133357820325,-0.00428642746939763,0.014,0.889741522115861,-0.0882313585971974
85,0.250096521345035,-0.0710891573519199,0.00278899892824793,2,NA,NA,NA,NA,NA,NA,0.017,NA,NA
86,0.0704932939607085,-0.0561556713695873,0.000222763816348408,3,NA,NA,NA,NA,NA,NA,0.026,NA,NA
87,0.149664706131058,0.000340443861172168,0.0122627133764568,4,NA,NA,NA,NA,NA,NA,0.018,NA,NA
88,0.45771760404176,-0.0800911150961304,-0.00133274721868111,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,-0.730133254197714,0.0759811438913551,-0.00557122073104968,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.322394826845132,-0.132455828079516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,-0.244703313472094,0.0654340308683435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,-0.420323116835574,0.181275008949564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,-0.0285955008224126,0.061252587763985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0.00540286114890716,0.164246648033823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,-0.264142395925665,0.10632714780228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0.0222890134046378,-0.00330112272027631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,-0.0630338932761608,-0.00822809655663048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,-0.0181717357106417,0.0199344301836162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.292959184844807,-0.00614783848324501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,-0.0208172882268273,0.0153157479986118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,0.227816405864947,-0.0285088567804833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.121381849362098,-0.133276448177585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,0.0467206792476583,-0.00909481071595238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,-0.727298243856555,-0.0411133526047236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,0.587154336452811,-0.0907219909966471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
